 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-financial-elv-54b48c6944-bz7qc
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-financial-elz-664d77764c-7mn5t
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-financial-gbg-794db6ff56-wj5vj
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-financial-grz-786b8fb7df-94t6p
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-financial-ha-f98ffd77c-ghq5j
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-financial-mock-6d6f765ddc-lvsfv
[2019-03-28 09:44:59,574] INFO in functions: Namespace daily, ysis-ldf-64698d6bc9-4m7nn
[2019-03-28 09:44:59,575] INFO in functions: Namespace daily, ysis-mobile-api-667f5b6bc-6kxb5
[2019-03-28 09:44:59,575] INFO in functions: Namespace daily, ysis-openid-client-dd68f8d8c-qlklc
[2019-03-28 09:44:59,575] INFO in functions: Namespace daily, ysis-research-exporter-8c88476c7-gp5ls
[2019-03-28 09:44:59,575] INFO in functions: Namespace daily, ysis-thumbnailgenerator-875b66d78-lzxkw
[2019-03-28 09:44:59,575] INFO in functions: CHECKING NAMESPACE dashboard
[2019-03-28 09:44:59,639] INFO in functions: CHECKING NAMESPACE default
[2019-03-28 09:44:59,686] INFO in functions: CHECKING NAMESPACE gerimedica-dns
[2019-03-28 09:44:59,760] INFO in functions: Namespace gerimedica-dns, coredns-69bf7ddfb5-2tdrx
[2019-03-28 09:44:59,760] INFO in functions: Namespace gerimedica-dns, django-coredns-6d67d5df44-jcltt
[2019-03-28 09:44:59,760] INFO in functions: Namespace gerimedica-dns, django-coredns-6d67d5df44-qv7lv
[2019-03-28 09:44:59,760] INFO in functions: Namespace gerimedica-dns, django-coredns-6d67d5df44-t4dlv
[2019-03-28 09:44:59,761] INFO in functions: CHECKING NAMESPACE graylog
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-client-6d968c7dd5-tzg9n
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-client-6d968c7dd5-wdqvm
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-client-6d968c7dd5-wksbz
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-data-7bgvw
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-data-7ph9t
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-data-7zpl4
[2019-03-28 09:44:59,855] INFO in functions: Namespace graylog, elasticsearch-data-dvkkp
